 Close valve HP_IN
 Close valve HP_OUT
 Close valve L1_OUT
 Close valve L2_OUT
 Close valve L3_OUT
 Close valve L_HP
 Close valve LR1
 Close valve LR2
 Close valve LR3
 Close valve LR4
 Close valve LRW2
 Close valve LWASTE
 Close valve R1_4
 Close valve V21
 Close valve V24
 Close valve V4
 Close valve VH
 Close valve W1
 Close valve W2
 Close valve W3
 Open valve HP_IN
 Open valve W2
 Open valve R1_4
 Open valve V21
[17:35:39]: Forward liquid flow activated
[17:35:39]: Pump W2
 Open valve LRW2
 Open valve V24
 Open valve V4
 Open valve L2_OUT
 Close valve L2_OUT
 Close valve V4
 Close valve V24
 Close valve LRW2
[17:36:09]: Loop start
[17:36:09]: Wash2
 Open valve LRW2
 Open valve V24
[17:38:54]: 5163
[17:38:55]: 5132
[17:38:55]: 5102
[17:38:55]: 5081
[17:38:56]: 5101
[17:38:56]: 5068
[17:38:56]: 5093
[17:38:56]: 5076
[17:38:57]: 5045
[17:38:57]: 5062
[17:38:57]: 5103
[17:38:58]: 5033
[17:38:58]: 5040
[17:38:58]: 5084
[17:38:59]: 5087
[17:38:59]: 5046
[17:38:59]: 5049
[17:39:00]: 5071
[17:39:00]: 5098
[17:39:00]: 5100
[17:39:01]: 5083
[17:39:01]: 5047
[17:39:01]: 5075
[17:39:02]: 5089
[17:39:02]: 5074
[17:39:02]: 5056
[17:39:02]: 5045
[17:39:03]: 5039
[17:39:03]: 5101
[17:39:03]: 5079
[17:39:04]: 5065
[17:39:04]: 5093
 Close valve V24
 Close valve LRW2
[17:39:04]: dGTP
 Open valve LR1
[17:39:05]: 4664
[17:39:05]: 9393
[17:39:05]: 9342
[17:39:05]: 9298
[17:39:06]: 9235
[17:39:06]: 9167
[17:39:06]: 9180
[17:39:07]: 9189
[17:39:07]: 9164
[17:39:07]: 9103
[17:39:08]: 9077
[17:39:08]: 9071
[17:39:08]: 9070
[17:39:09]: 9031
[17:39:09]: 9018
[17:39:09]: 9094
[17:39:10]: 9085
[17:39:10]: 9062
[17:39:10]: 9047
[17:39:11]: 9048
[17:39:11]: 9074
[17:39:11]: 9100
[17:39:11]: 9118
[17:39:12]: 9113
[17:39:12]: 9128
[17:39:12]: 9096
[17:39:13]: 9115
[17:39:13]: 9111
[17:39:13]: 9127
[17:39:14]: 9164
[17:39:14]: 9108
[17:39:14]: 9116
[17:39:15]: 9171
[17:39:15]: 9188
[17:39:15]: 9187
[17:39:16]: 9247
[17:39:16]: 9173
[17:39:16]: 9193
[17:39:17]: 9244
[17:39:17]: 9253
[17:39:17]: 9275
[17:39:18]: 9274
[17:39:18]: 9259
[17:39:18]: 9345
[17:39:19]: 9286
[17:39:19]: 9369
[17:39:19]: 9320
[17:39:19]: 9359
[17:39:20]: 9382
[17:39:20]: 9385
[17:39:20]: 9369
[17:39:21]: 9447
[17:39:21]: 9383
[17:39:21]: 9478
[17:39:22]: 9463
[17:39:22]: 9465
[17:39:22]: 9481
[17:39:23]: 9488
[17:39:23]: 9473
[17:39:23]: 9473
 Close valve LR1
[17:39:23]: Wash2
 Open valve LRW2
 Open valve V24
[17:39:24]: 9562
[17:39:24]: 9468
[17:39:24]: 9417
[17:39:25]: 9423
[17:39:25]: 9512
[17:39:25]: 9496
[17:39:26]: 9460
[17:39:26]: 9493
[17:39:26]: 9457
[17:39:27]: 9295
[17:39:27]: 9494
[17:39:27]: 9376
[17:39:28]: 9371
[17:39:28]: 9323
[17:39:28]: 8769
[17:39:29]: 7143
[17:39:29]: 6338
[17:39:29]: 5575
[17:39:29]: 5358
[17:39:30]: 5343
[17:39:30]: 5296
[17:39:30]: 5311
[17:39:31]: 5366
[17:39:31]: 5217
[17:39:31]: 5166
[17:39:32]: 5132
[17:39:32]: 5184
[17:39:32]: 5130
[17:39:33]: 5133
[17:39:33]: 5093
[17:39:33]: 5089
[17:39:34]: 5109
[17:39:34]: 5122
[17:39:34]: 5113
[17:39:35]: 5087
[17:39:35]: 5073
[17:39:35]: 5065
[17:39:36]: 5080
[17:39:36]: 5102
[17:39:36]: 5060
[17:39:37]: 5111
[17:39:37]: 5092
[17:39:37]: 5057
[17:39:38]: 5074
[17:39:38]: 5100
[17:39:38]: 5080
[17:39:38]: 5062
[17:39:39]: 5107
[17:39:39]: 5067
[17:39:39]: 5097
[17:39:40]: 5108
[17:39:40]: 5107
[17:39:40]: 5089
[17:39:41]: 5066
[17:39:41]: 5127
[17:39:41]: 5118
[17:39:42]: 5090
[17:39:42]: 5080
[17:39:42]: 5080
[17:39:43]: 5072
 Close valve V24
 Close valve LRW2
[17:39:43]: dCTP
 Open valve LR2
[17:39:43]: 4691
[17:39:43]: 9471
[17:39:44]: 9362
[17:39:44]: 9384
[17:39:44]: 9256
[17:39:45]: 9229
[17:39:45]: 9217
