 Close valve HP_IN
 Close valve HP_OUT
 Close valve L1_OUT
 Close valve L2_OUT
 Close valve L3_OUT
 Close valve L_HP
 Close valve LR1
 Close valve LR2
 Close valve LR3
 Close valve LR4
 Close valve LRW2
 Close valve LWASTE
 Close valve R1_4
 Close valve V21
 Close valve V24
 Close valve V4
 Close valve VH
 Close valve W1
 Close valve W2
 Close valve W3
 Open valve HP_IN
 Open valve W2
 Open valve R1_4
 Open valve V21
[19:45:28]: Forward liquid flow activated
[19:45:28]: AIR
 Open valve HP_OUT
 Open valve L_HP
 Open valve V24
 Close valve V24
 Close valve L_HP
 Close valve HP_OUT
[19:46:08]: W2 OH-
 Open valve LRW2
[19:49:48]: 9302
[19:49:48]: 9301
[19:49:49]: 9300
[19:49:49]: 9301
[19:49:49]: 9300
[19:49:50]: 9299
[19:49:50]: 9301
[19:49:50]: 9300
[19:49:51]: 9299
[19:49:51]: 9300
[19:49:51]: 9299
[19:49:52]: 9298
[19:49:52]: 9298
[19:49:52]: 9300
[19:49:53]: 9299
[19:49:53]: 9299
[19:49:53]: 9299
[19:49:54]: 9298
[19:49:54]: 9298
[19:49:54]: 9299
[19:49:55]: 9297
[19:49:55]: 9298
[19:49:55]: 9298
[19:49:56]: 9298
[19:49:56]: 9298
[19:49:56]: 9298
[19:49:56]: 9298
[19:49:57]: 9298
[19:49:57]: 9296
[19:49:57]: 9297
[19:49:58]: 9297
[19:49:58]: 9297
[19:49:58]: 9296
[19:49:59]: 9297
[19:49:59]: 9296
[19:49:59]: 9295
[19:50:00]: 9295
[19:50:00]: 9296
[19:50:00]: 9296
[19:50:01]: 9296
[19:50:01]: 9295
[19:50:01]: 9295
[19:50:02]: 9297
[19:50:02]: 9296
[19:50:02]: 9295
[19:50:02]: 9295
[19:50:03]: 9295
[19:50:03]: 9295
[19:50:03]: 9295
[19:50:04]: 9295
[19:50:04]: 9294
[19:50:04]: 9294
[19:50:05]: 9295
[19:50:05]: 9295
[19:50:05]: 9294
[19:50:06]: 9294
[19:50:06]: 9294
[19:50:06]: 9293
[19:50:07]: 9294
[19:50:07]: 9292
[19:50:07]: 9294
[19:50:07]: 9292
[19:50:08]: 9293
[19:50:08]: 9293
[19:50:08]: 9293
[19:50:09]: 9293
[19:50:09]: 9293
[19:50:09]: 9291
[19:50:10]: 9291
[19:50:10]: 9292
[19:50:10]: 9292
[19:50:11]: 9291
[19:50:11]: 9292
 Close valve LR3
[19:50:12]: PLUS H+
 Open valve LR4
[19:50:12]: 9293
[19:50:13]: 9273
[19:50:13]: 9272
[19:50:13]: 9271
[19:50:14]: 9294
[19:50:14]: 9308
[19:50:14]: 9204
[19:50:15]: 9267
[19:50:15]: 9239
[19:50:15]: 9171
[19:50:15]: 9232
[19:50:16]: 9290
[19:50:16]: 9303
[19:50:16]: 9336
[19:50:17]: 9223
[19:50:17]: 9331
[19:50:17]: 9372
[19:50:18]: 9323
[19:50:18]: 9224
[19:50:18]: 9240
[19:50:19]: 9099
[19:50:19]: 9213
[19:50:19]: 9244
[19:50:20]: 9256
[19:50:20]: 9272
[19:50:20]: 9268
[19:50:21]: 9257
[19:50:21]: 9244
[19:50:21]: 9239
[19:50:22]: 9209
[19:50:22]: 9233
[19:50:22]: 9241
[19:50:23]: 9252
[19:50:23]: 9254
[19:50:23]: 9256
[19:50:24]: 9262
[19:50:24]: 9264
[19:50:24]: 9266
[19:50:25]: 9265
[19:50:25]: 9266
[19:50:25]: 9267
[19:50:25]: 9269
[19:50:26]: 9270
[19:50:26]: 9270
[19:50:26]: 9270
[19:50:27]: 9271
[19:50:27]: 9272
[19:50:27]: 9270
[19:50:28]: 9271
[19:50:28]: 9271
[19:50:28]: 9272
[19:50:29]: 9272
[19:50:29]: 9272
[19:50:29]: 9272
[19:50:30]: 9271
[19:50:30]: 9271
[19:50:30]: 9272
[19:50:30]: 9272
[19:50:31]: 9272
[19:50:31]: 9272
[19:50:31]: 9272
[19:50:32]: 9271
[19:50:32]: 9271
[19:50:32]: 9272
[19:50:33]: 9271
[19:50:33]: 9271
[19:50:33]: 9271
[19:50:34]: 9271
[19:50:34]: 9271
[19:50:34]: 9270
[19:50:35]: 9269
[19:50:35]: 9269
[19:50:35]: 9271
[19:50:36]: 9270
[19:50:36]: 9270
[19:50:36]: 9269
[19:50:36]: 9269
[19:50:37]: 9269
[19:50:37]: 9270
[19:50:37]: 9268
[19:50:38]: 9268
[19:50:38]: 9268
[19:50:38]: 9268
[19:50:39]: 9269
[19:50:39]: 9268
[19:50:39]: 9268
[19:50:40]: 9269
[19:50:40]: 9267
[19:50:40]: 9267
[19:50:41]: 9267
[19:50:41]: 9268
[19:50:41]: 9267
[19:50:41]: 9267
[19:50:42]: 9268
[19:50:42]: 9267
[19:50:42]: 9267
[19:50:43]: 9266
[19:50:43]: 9266
[19:50:43]: 9268
[19:50:44]: 9267
[19:50:44]: 9266
[19:50:44]: 9267
[19:50:45]: 9266
[19:50:45]: 9266
[19:50:45]: 9266
[19:50:46]: 9267
[19:50:46]: 9265
[19:50:46]: 9267
[19:50:47]: 9265
[19:50:47]: 9265
[19:50:47]: 9265
[19:50:48]: 9265
[19:50:48]: 9264
[19:50:48]: 9265
[19:50:48]: 9266
[19:50:49]: 9268
[19:50:49]: 9264
[19:50:49]: 9265
[19:50:50]: 9264
[19:50:50]: 9264
[19:50:50]: 9265
[19:50:51]: 9264
[19:50:51]: 9265
[19:50:51]: 9265
[19:50:52]: 9264
[19:50:52]: 9263
[19:50:52]: 9264
[19:50:53]: 9264
[19:50:53]: 9263
[19:50:53]: 9264
[19:50:53]: 9263
[19:50:54]: 9262
[19:50:54]: 9264
[19:50:54]: 9262
[19:50:55]: 9263
[19:50:55]: 9262
[19:50:55]: 9263
[19:50:56]: 9263
[19:50:56]: 9262
[19:50:56]: 9262
[19:50:57]: 9263
[19:50:57]: 9262
[19:50:57]: 9262
[19:50:58]: 9262
[19:50:58]: 9261
[19:50:58]: 9262
[19:50:59]: 9262
[19:50:59]: 9263
[19:50:59]: 9261
[19:51:00]: 9262
 Close valve LR4
[19:51:01]: W2 OH-
 Open valve LRW2
[19:51:01]: 9279
[19:51:01]: 8918
[19:51:02]: 8804
[19:51:02]: 8778
[19:51:02]: 8766
[19:51:03]: 8766
[19:51:03]: 8753
[19:51:03]: 8732
[19:51:03]: 8738
[19:51:04]: 8724
[19:51:04]: 8716
[19:51:04]: 8735
[19:51:05]: 8727
[19:51:05]: 8715
[19:51:05]: 8729
[19:51:06]: 8718
[19:51:06]: 8708
[19:51:06]: 8704
[19:51:07]: 8724
[19:51:07]: 8716
[19:51:07]: 8714
[19:51:08]: 8713
[19:51:08]: 8706
[19:51:08]: 8728
[19:51:08]: 8726
[19:51:09]: 8708
[19:51:09]: 8719
[19:51:09]: 8729
[19:51:10]: 8729
[19:51:10]: 8741
[19:51:10]: 8769
[19:51:11]: 8783
[19:51:11]: 8787
[19:51:11]: 8777
[19:51:12]: 8788
[19:51:12]: 8799
[19:51:12]: 8801
[19:51:13]: 8796
[19:51:13]: 8803
[19:51:13]: 8801
[19:51:14]: 8794
[19:51:14]: 8786
[19:51:14]: 8802
[19:51:15]: 8787
[19:51:15]: 8794
[19:51:16]: 8788
[19:51:16]: 8801
[19:51:16]: 8793
[19:51:16]: 8790
[19:51:17]: 8793
[19:51:17]: 8804
[19:51:17]: 8796
[19:51:18]: 8811
[19:51:18]: 8804
[19:51:18]: 8812
[19:51:19]: 8809
[19:51:19]: 8801
[19:51:19]: 8798
[19:51:20]: 8808
[19:51:20]: 8802
[19:51:20]: 8795
[19:51:21]: 8805
[19:51:21]: 8797
[19:51:21]: 8795
[19:51:22]: 8816
[19:51:22]: 8809
[19:51:22]: 8800
[19:51:23]: 8798
[19:51:23]: 8803
[19:51:23]: 8813
[19:51:24]: 8820
