 Close valve HP_IN
 Close valve HP_OUT
 Close valve L1_OUT
 Close valve L2_OUT
 Close valve L3_OUT
 Close valve L_HP
 Close valve LR1
 Close valve LR2
 Close valve LR3
 Close valve LR4
 Close valve LRW2
 Close valve LWASTE
 Close valve R1_4
 Close valve V21
 Close valve V24
 Close valve V4
 Close valve VH
 Close valve W1
 Close valve W2
 Close valve W3
 Open valve HP_IN
 Open valve W2
 Open valve R1_4
 Open valve V21
[19:59:27]: Forward liquid flow activated
[19:59:27]: AIR
 Open valve HP_OUT
 Open valve L_HP
 Open valve V24
 Close valve V24
 Close valve L_HP
 Close valve HP_OUT
[20:00:08]: W2 OH-
 Open valve LRW2
[20:04:45]: 8608
[20:04:46]: 8606
[20:04:46]: 8625
[20:04:46]: 8622
[20:04:46]: 8606
[20:04:47]: 8619
[20:04:47]: 8610
[20:04:48]: 8605
[20:04:48]: 8622
[20:04:48]: 8607
[20:04:48]: 8604
[20:04:49]: 8623
[20:04:49]: 8616
[20:04:49]: 8607
[20:04:50]: 8623
[20:04:50]: 8622
[20:04:50]: 8615
[20:04:51]: 8614
[20:04:51]: 8623
[20:04:51]: 8604
[20:04:52]: 8604
[20:04:52]: 8612
[20:04:52]: 8612
[20:04:53]: 8622
[20:04:53]: 8618
[20:04:53]: 8623
[20:04:54]: 8620
[20:04:54]: 8612
[20:04:54]: 8605
[20:04:54]: 8604
[20:04:55]: 8611
[20:04:55]: 8621
[20:04:55]: 8623
[20:04:56]: 8617
[20:04:56]: 8608
[20:04:56]: 8620
[20:04:57]: 8605
[20:04:57]: 8603
[20:04:57]: 8603
[20:04:58]: 8620
[20:04:58]: 8605
[20:04:58]: 8615
[20:04:59]: 8608
[20:04:59]: 8603
[20:04:59]: 8621
[20:05:00]: 8615
[20:05:00]: 8622
[20:05:00]: 8608
[20:05:01]: 8619
 Close valve LRW2
[20:05:02]: SQUARE H+
 Open valve LR3
[20:05:02]: 9181
[20:05:02]: 9356
[20:05:03]: 9360
[20:05:03]: 9365
[20:05:03]: 9367
[20:05:04]: 9369
[20:05:04]: 9371
[20:05:04]: 9371
[20:05:05]: 9370
[20:05:05]: 9370
[20:05:05]: 9370
[20:05:05]: 9369
[20:05:06]: 9369
[20:05:06]: 9370
[20:05:06]: 9370
[20:05:07]: 9370
[20:05:07]: 9369
[20:05:07]: 9369
[20:05:08]: 9369
[20:05:08]: 9369
[20:05:08]: 9367
[20:05:09]: 9369
[20:05:09]: 9367
[20:05:09]: 9368
[20:05:10]: 9367
[20:05:10]: 9367
[20:05:10]: 9366
[20:05:11]: 9368
[20:05:11]: 9368
[20:05:11]: 9366
[20:05:12]: 9367
[20:05:12]: 9367
[20:05:12]: 9367
[20:05:12]: 9366
[20:05:13]: 9366
[20:05:13]: 9365
[20:05:13]: 9365
[20:05:14]: 9366
[20:05:14]: 9365
[20:05:14]: 9365
[20:05:15]: 9364
[20:05:15]: 9364
[20:05:15]: 9364
[20:05:16]: 9364
[20:05:16]: 9364
[20:05:16]: 9364
[20:05:17]: 9365
[20:05:17]: 9363
[20:05:17]: 9363
[20:05:18]: 9364
[20:05:18]: 9363
[20:05:18]: 9364
[20:05:19]: 9363
[20:05:19]: 9362
[20:05:19]: 9364
[20:05:20]: 9362
[20:05:20]: 9363
[20:05:20]: 9363
[20:05:21]: 9362
[20:05:21]: 9362
[20:05:21]: 9363
[20:05:21]: 9363
[20:05:22]: 9361
[20:05:22]: 9361
[20:05:22]: 9362
[20:05:23]: 9362
[20:05:23]: 9361
[20:05:23]: 9361
[20:05:24]: 9361
[20:05:24]: 9360
[20:05:24]: 9360
[20:05:25]: 9361
[20:05:25]: 9360
[20:05:25]: 9360
[20:05:26]: 9361
[20:05:26]: 9361
[20:05:26]: 9360
[20:05:26]: 9360
[20:05:27]: 9360
[20:05:27]: 9361
[20:05:27]: 9359
[20:05:28]: 9359
[20:05:28]: 9360
[20:05:28]: 9359
[20:05:29]: 9359
[20:05:29]: 9358
[20:05:29]: 9358
[20:05:30]: 9358
[20:05:30]: 9359
[20:05:30]: 9358
[20:05:31]: 9359
[20:05:31]: 9359
[20:05:31]: 9359
[20:05:32]: 9357
[20:05:32]: 9358
[20:05:32]: 9358
[20:05:33]: 9357
[20:05:33]: 9357
[20:05:34]: 9358
[20:05:34]: 9358
